CustomerID,OrderID,OrderDate,Age,Gender,Membership,ProductCategory,ProductName,UnitPrice,Quantity,TotalAmount,PaymentMethod,City,ReturnStatus,Courier,DeliveryDays,Discount
1,1001,2024-05-30,,M,Silver,Casa,Tappeto,13,3,39,PayPal,Torino,1,BRT,4,14
2,1002,2024-12-12,30.0,M,Basic,Libri,Fumetto,23,3,69,PayPal,Milano,0,GLS,3,8
3,1003,2024-05-12,43.0,F,Basic,Abbigliamento,Scarpe,24,2,48,BankTransfer,Napoli,1,GLS,3,4
4,1004,2024-11-11,47.0,F,Silver,Casa,Tappeto,138,1,138,CreditCard,Roma,0,GLS,5,5
5,1005,2024-01-13,44.0,M,Basic,Elettronica,Cuffie,630,1,630,PayPal,Milano,0,GLS,5,4
6,1006,2024-05-13,,F,Silver,Libri,Enciclopedia,20,1,20,PayPal,Napoli,0,Poste,2,0
7,1007,2024-10-15,61.0,M,Silver,Sport,Borraccia,89,3,267,CreditCard,Bologna,0,DHL,1,6
8,1008,2024-08-26,37.0,F,Silver,Abbigliamento,Giacca,130,1,130,Cash,Napoli,0,BRT,3,4
9,1009,2024-04-15,68.0,M,Basic,Sport,Manubri,75,5,375,CreditCard,Torino,0,Poste,8,19
10,1010,2024-06-16,37.0,M,Basic,Libri,Enciclopedia,22,2,44,Cash,Roma,0,BRT,2,0
11,1011,2024-09-06,58.0,M,Silver,Elettronica,Tablet,99,4,396,Cash,Roma,1,DHL,3,10
12,1012,2024-04-09,72.0,M,Gold,Sport,Tappetino Yoga,167,2,334,Cash,Napoli,0,DHL,2,2
13,1013,2024-09-01,18.0,M,Silver,Elettronica,Smartphone,574,1,574,BankTransfer,Roma,0,GLS,2,0
14,1014,2024-09-20,34.0,F,Silver,Sport,Manubri,151,2,302,PayPal,Napoli,0,Poste,5,3
15,1015,2024-08-27,36.0,F,Gold,Libri,Manuale,21,4,84,CreditCard,Bologna,1,GLS,2,14
